Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Total Cycles,Recovery,With Pet,Competition,Long Run,For a Cause,Media
2575075416,"Jul 30, 2019, 9:42:28 AM",Sortie à vélo du midi,Ride,,1691,10.00,,,false,,,activities/2575075416.gpx,58.0,,1691.0,1560.0,10003.0,10.8,,91.7,,144.7,197.3,13.2,0.0,,,,,,,,110.0,192.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
2601965015,"Aug 8, 2019, 3:10:13 PM",Sortie à vélo dans l'après-midi,Ride,,5574,33.66,,,false,,,activities/2601965015.gpx,58.0,,5574.0,5121.0,33665.8,12.4,,241.1,,145.4,215.2,13.1,0.0,,,,,,,,99.0,565.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
2610612518,"Aug 11, 2019, 3:01:22 PM",Sortie à vélo dans l'après-midi,Ride,,8280,36.93,,,false,,,activities/2610612518.gpx,58.0,,8280.0,6761.0,36936.7,12.4,,256.5,,145.4,219.5,14.2,0.0,,,,,,,,82.0,618.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
2615585683,"Aug 13, 2019, 12:36:43 PM",Sortie à vélo dans l'après-midi,Ride,,9422,41.64,,,false,,,activities/2615585683.gpx,58.0,,9422.0,8070.0,41647.1,13.3,,364.7,,146.4,243.2,11.2,0.0,,,,,,,,74.0,668.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
2632429026,"Aug 19, 2019, 1:05:07 PM",Entraînement accélération sur du 10%,Ride,"",1390,8.12,,,false,,,activities/2632429026.gpx,58.0,,1390.0,1384.0,8127.3,9.5,,162.3,,170.9,200.9,20.4,0.0,,,,,,,,141.0,218.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
2689535285,"Sep 8, 2019, 5:39:49 AM",Sortie à vélo matinale,Ride,,10003,55.02,,,false,,,activities/2689535285.gpx,58.0,,10003.0,8797.0,55021.4,13.9,,838.2,,146.4,286.3,15.4,0.0,,,,,,,,113.0,1106.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
2709877783,"Sep 15, 2019, 6:17:47 AM",Sortie à vélo matinale,Ride,,10760,66.62,,,false,,,activities/2709877783.gpx,58.0,,10760.0,10360.0,66619.3,14.0,,704.4,,152.9,291.0,15.7,0.0,,,,,,,,110.0,1267.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
2748664938,"Sep 29, 2019, 6:23:23 AM",Sortie à vélo matinale,Ride,,13444,80.37,,,false,,,activities/2748664938.gpx,58.0,,13444.0,12142.0,80371.1,16.8,,935.0,,149.2,292.2,26.8,0.0,,,,,,,,112.0,1514.0,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
2766885700,"Oct 6, 2019, 6:26:22 AM",Sortie à vélo matinale,Ride,,13182,85.28,,,false,,,activities/2766885700.gpx,58.0,,13182.0,12295.0,85284.5,15.1,6.937,990.7,986.4,149.6,320.9,17.2,0.0,,,,,,,,120.0,1643.0,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.47,0.0,,,,,,,,,,,,,,,,,""
2784766172,"Oct 13, 2019, 6:22:53 AM",Sortie à vélo matinale,Ride,,11458,70.30,,,false,,,activities/2784766172.gpx,58.0,,11458.0,10726.0,70303.3,16.4,,795.3,,149.2,291.7,17.0,0.0,,,,,,,,110.0,1316.0,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
2802841219,"Oct 20, 2019, 6:21:19 AM",Sortie à vélo matinale,Ride,,15299,85.78,,,false,,,activities/2802841219.gpx,58.0,,15299.0,13819.0,85779.1,16.0,,949.8,,136.6,287.8,16.7,0.0,,,,,,,,102.0,1568.0,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
2818809357,"Oct 26, 2019, 3:59:59 PM",Petite balade avec mon père,Ride,,3740,17.96,,,false,,,activities/2818809357.gpx,58.0,,3740.0,3585.0,17962.7,16.6,,209.1,,167.0,243.2,13.7,0.0,,,,,,,,81.0,324.0,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
2826439910,"Oct 29, 2019, 4:16:45 PM",Sortie à vélo dans l'après-midi,Ride,,3437,21.54,,,false,,,activities/2826439910.gpx,58.0,,3437.0,3313.0,21548.5,12.2,,223.1,,144.8,272.8,13.0,0.0,,,,,,,,109.0,403.0,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
2852809622,"Nov 9, 2019, 3:46:24 PM",Sortie à vélo dans l'après-midi,Ride,,4908,28.84,,,false,,,activities/2852809622.gpx,58.0,,4908.0,4486.0,28845.2,13.0,,364.8,,149.6,278.6,13.3,0.0,,,,,,,,115.0,574.0,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
2888270790,"Nov 24, 2019, 11:11:04 AM",Premiere sortie avec de longues cotes et dans le froid,Ride,"",13137,60.84,,,false,,,activities/2888270790.gpx,58.0,,13137.0,11905.0,60847.1,14.6,5.111,1270.8,,214.1,777.3,39.6,-0.1,,,,,,,,101.0,1339.0,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
2903522800,"Dec 1, 2019, 8:49:26 AM",Petite sortie avec mon père,Ride,,6799,31.88,,,false,,,activities/2903522800.gpx,58.0,,6799.0,6431.0,31883.0,14.2,4.958,416.9,,144.7,286.5,15.2,0.0,,,,,,,,83.0,593.0,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
2903660163,"Dec 1, 2019, 10:56:21 AM",Petit jogging apres le velo avec mon pere,Run,,1303,3.83,,,false,,,activities/2903660163.gpx,58.0,,1303.0,1303.0,3829.1,7.6,2.939,51.7,,176.1,212.5,13.7,0.0,,,,,,,,,282.0,,,,,,,,,,,,,,0.0,,0.0,,,3955.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
2917434318,"Dec 7, 2019, 2:20:21 PM",Sortie à vélo dans l'après-midi,Ride,,4538,27.58,,,false,,,activities/2917434318.gpx,58.0,,4538.0,4394.0,27585.1,12.7,6.278,338.7,,146.4,286.4,14.3,0.0,,,,,,,,105.0,515.0,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
