file,distance_km,denivele_m,lat_start,lon_start,lat_end,lon_end,num_points
7193938784.gpx,54.07,876.0,43.52267,1.550136,43.522892,1.550142,7711
7211477694.gpx,55.79,660.1,43.318691,1.947465,43.318606,1.947481,7172
7219867904.gpx,31.65,549.8,43.5227,1.550137,43.523427,1.561014,5434
7230991491.gpx,53.86,1087.0,43.431488,2.019537,43.431349,2.020026,7468
7241723435.gpx,62.99,1155.8,43.522647,1.550105,43.522774,1.550093,9085
7257509673.gpx,39.05,525.7,43.522651,1.550031,43.52272,1.550033,5186
7274103537.gpx,36.97,415.7,43.522701,1.550131,43.522659,1.550152,4892
7290207288.gpx,72.28,1191.9,42.874905,2.182235,42.874549,2.182475,10751
7301082675.gpx,72.71,854.2,43.318737,1.947368,43.309585,1.942541,9340
7312016451.gpx,77.12,1063.2,42.943476,2.255295,42.942736,2.2551,10494
7338338588.gpx,62.85,1151.9,43.284026,2.43821,43.283806,2.438155,9483
7359971550.gpx,30.07,389.0,43.522718,1.550148,43.522717,1.550087,3954
7370028741.gpx,46.0,654.5,43.522671,1.55011,43.522693,1.550134,6219
7398865343.gpx,44.53,524.4,43.522682,1.550109,43.522838,1.550056,5425
7423370967.gpx,32.2,441.0,43.522595,1.550009,43.522665,1.550078,4301
7434140395.gpx,60.27,275.9,43.522732,1.550048,43.522734,1.55014,7745
7450433679.gpx,5.1,595.0,45.76391,2.957028,45.764518,2.955646,3877
7452332467.gpx,3.59,194.5,45.701473,2.967546,45.701382,2.967529,2637
7468246129.gpx,5.63,197.4,45.457621,3.187641,45.458292,3.18599,4048
7476168369.gpx,34.3,512.6,43.52266,1.55012,43.522655,1.550125,4928
7485241772.gpx,40.6,545.1,43.433963,2.040774,43.318724,1.947406,5062
7508798900.gpx,42.04,543.1,43.522637,1.550051,43.522729,1.550136,5682
7541603693.gpx,38.22,434.0,43.522632,1.550055,43.522872,1.550096,5141
7552287476.gpx,52.32,1061.8,43.431492,2.019654,43.431661,2.019313,7606
7618512676.gpx,19.1,297.1,43.522701,1.549909,43.522705,1.550061,2652
7640925825.gpx,60.17,659.5,43.318698,1.947482,43.31903,1.947432,7652
7668300258.gpx,61.15,519.8,43.52259,1.550217,43.522643,1.550168,8587
7729820880.gpx,42.13,652.1,43.52272,1.550112,43.522685,1.550208,5793
7789033196.gpx,61.31,525.3,43.522647,1.550005,43.522679,1.550071,8942
7863298591.gpx,43.26,657.7,43.522614,1.550009,43.522712,1.550129,6028
7894004043.gpx,70.46,1340.5,43.06897,1.48621,43.069073,1.486083,11480
7934829280.gpx,72.23,1065.1,43.318586,1.947503,43.3186,1.947451,9662
7965131686.gpx,45.65,775.0,43.522677,1.550092,43.522639,1.55015,6251
8006496364.gpx,64.27,1144.0,42.913177,1.659275,42.913274,1.658969,9791
8041286486.gpx,43.01,596.0,43.522682,1.550093,43.522658,1.550064,5867
8075617925.gpx,35.38,437.9,43.522607,1.550031,43.522663,1.550145,5664
8106473744.gpx,75.93,1112.0,42.969628,0.614765,42.969642,0.614971,12019
8144676920.gpx,43.58,873.2,43.440489,2.023332,43.440457,2.023286,6471
8171839777.gpx,60.8,498.3,43.522721,1.550104,43.52272,1.550039,8273
8230551409.gpx,44.44,696.7,43.522687,1.550132,43.522691,1.550101,7495
8258043091.gpx,46.01,721.4,43.522656,1.550098,43.52269,1.550113,7581
8286827212.gpx,61.63,811.2,43.318761,1.947431,43.307886,1.941468,8076
8288931904.gpx,51.15,406.8,43.318829,1.947431,43.521587,1.548242,6064
8296864029.gpx,52.08,801.3,43.5227,1.550227,43.522705,1.550072,7890
8305974328.gpx,45.94,591.2,43.522666,1.55017,43.522659,1.550145,7037
8353987808.gpx,12.9,371.7,43.445713,2.145861,43.445879,2.146242,9050
8357266204.gpx,34.69,444.2,43.522717,1.550248,43.522663,1.55016,4827
8390058151.gpx,76.28,851.4,43.184198,2.556893,43.184097,2.557082,11556
8396935850.gpx,26.48,239.8,43.522062,1.54819,43.522672,1.550356,5258
8428892979.gpx,5.58,210.5,43.28375,1.925035,43.283841,1.924906,4701
8431977776.gpx,46.45,496.2,43.31875,1.947439,43.318506,1.947453,6734
8464421791.gpx,36.97,499.5,43.52259,1.55024,43.522688,1.550122,6216
8502457429.gpx,51.24,645.0,43.52338,1.553277,43.522677,1.550122,7948
8533028927.gpx,5.04,9.5,43.618737,1.422438,43.617759,1.422474,1247
8547600315.gpx,80.45,1078.2,43.522653,1.550034,43.522647,1.550144,10853
8577095855.gpx,4.65,135.6,42.862833,1.084736,42.863038,1.084784,3508
8581793753.gpx,8.15,380.6,42.899309,1.454241,42.899193,1.4552,10132
8625068553.gpx,74.28,869.1,43.084152,1.737844,43.084316,1.737728,11939
8642767246.gpx,7.53,12.0,43.618752,1.422249,43.618071,1.422568,1858
8663836534.gpx,64.35,1143.7,43.079375,1.62501,43.079802,1.624816,9916
8691726316.gpx,40.22,605.5,43.522716,1.550105,43.522698,1.550101,5578
8700663081.gpx,45.47,680.4,43.522684,1.550024,43.522766,1.550221,6029
8733872271.gpx,45.44,702.4,43.522731,1.550065,43.522717,1.550166,6030
8773937871.gpx,61.38,1330.4,43.450124,2.066626,43.450197,2.066331,9034
8790841314.gpx,60.09,861.8,43.522679,1.550087,43.522555,1.549409,6811
8817582503.gpx,50.34,739.7,43.522633,1.550032,43.522654,1.550329,7900
8846841451.gpx,42.77,625.1,43.522527,1.55009,43.522263,1.549385,7521
8864466344.gpx,54.63,817.1,43.522688,1.550141,43.522687,1.550205,8410
8895307012.gpx,20.86,300.0,43.522209,1.550164,43.522693,1.550091,4102
8900339992.gpx,64.31,1153.9,42.994328,1.608209,42.999694,1.609945,10269
8935014556.gpx,34.58,459.3,43.5226,1.54993,43.522662,1.550101,4520
8967623579.gpx,30.83,486.6,43.522489,1.549911,43.522664,1.55018,5236
8975638834.gpx,5.42,45.2,47.380512,-2.547362,47.380491,-2.547374,1374
9020085315.gpx,64.87,733.1,43.221867,2.620819,43.222112,2.620793,9448
9032698939.gpx,71.86,1496.7,43.325166,2.269186,43.325187,2.269058,10379
9062119582.gpx,60.14,613.6,43.522678,1.55006,43.522536,1.549739,7982
9094854259.gpx,55.78,544.7,43.325568,2.736039,43.325537,2.736075,12623
9098865321.gpx,62.66,1164.2,43.325591,2.736085,43.325657,2.736125,8613
9100464157.gpx,5.38,201.2,43.35688,2.74158,43.355928,2.743421,4764
9106850611.gpx,5.72,374.5,43.333588,2.381055,43.334448,2.37844,6766
9110683517.gpx,47.12,797.2,43.318699,1.947482,43.318637,1.947417,6534
9151450097.gpx,53.67,451.2,43.52266,1.550111,43.522644,1.550182,7247
9154376524.gpx,35.69,438.2,43.5226,1.550055,43.522664,1.550077,5183
9161790379.gpx,20.52,322.7,43.522696,1.550132,43.522654,1.550127,3955
9193431472.gpx,70.78,1153.3,43.183863,2.363018,43.183926,2.362893,10564
9199398857.gpx,40.09,417.8,43.522666,1.550094,43.522741,1.550146,5208
